Produs,Lot intrare,Cantitate
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 0-1017 1017 M,0.14
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 0-1021 1021 M,0.165
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 0-1028 1028 M,1.028
CYABY-F 5X10 NEGRU,##E1200 INALT CABTEC 1019-2053 1034 M,1.034
CYABY-F 5X10 NEGRU,##E1250 EL GROUP 1827-1015 812 M,0.06
CYABY-F 5X10 NEGRU,##E1400 CABTEC 0-908 908 M,0.061
CYABY-F 5X10 NEGRU,##E1400 ENG 0-2000 2000 M,2
CYABY-F 5X10 NEGRU,##E1400 ENG 2000-3300 1300 M,0.054
CYABY-F 5X10 NEGRU,##E1600 ENG 0-2621 2621 M,2.621
CYABY-F 5X10 NEGRU,COLAC CABTEC 642-742 100 M,0.1
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 1-501 500 M,0.5
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 3061-3326 265 M,0.04
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 3852-3539 313 M,0.059
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 502-2 500 M,0.5
CYABY-F 5X16 NEGRU,##E1000 EL GROUP 503-985 482 M,0.482
CYABY-F 5X16 NEGRU,##E1200 EL GROUP 789-73 716 M,0.716
CYABY-F 5X16 NEGRU,##E1200 INALT CABTEC 0-1019 1019 M,0.069
CYABY-F 5X16 NEGRU,##E1250 EL GROUP 1374-710 664 M,0.664
CYABY-F 5X16 NEGRU,##E1250 EL GROUP 613-2 611 M,0.611
CYABY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1002 1002 M,1.002
CYABY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-1013 1013 M,1.013
CYABY-F 5X16 NEGRU,##E1250 INALT CABTEC 0-988 988 M,0.988
CYABY-F 5X16 NEGRU,##E1400 EL GROUP 1977-1007 970 M,0.068
CYABY-F 5X16 NEGRU,##E1600 EL GROUP 1425-2416 991 M,0.991
CYABY-F 5X16 NEGRU,##E1600 ENG 0-1668 1668 M,1.668
CYABY-F 5X16 NEGRU,##E1600 ENG 1-1673 1672 M,1.672
CYABY-F 5X16 NEGRU,##E900 EL GROUP 1759-1375 384 M,0.164
CYABY-F 5X2.5 NEGRU,##E1200 ENG 0-812 812 M,0.812
CYABY-F 5X2.5 NEGRU,##E1400 ENG 0-3368 3368 M,3.368
CYABY-F 5X25 NEGRU,## E1000 ENERGO,0.054
CYABY-F 5X25 NEGRU,##E1250 PRYSMIAN 134 M,0.084
CYABY-F 5X25 NEGRU,##E1400 PRYSMIAN 0-344 344 M,0.058
CYABY-F 5X25 NEGRU,##E1600 ENG 0-1009 1009 M,1.009
CYABY-F 5X25 NEGRU,##E1600 ENG 0-932 932 M,0.932
CYABY-F 5X25 NEGRU,##E1800 PRYSMIAN 0-1002 1002 M,0.452
CYABY-F 5X25 NEGRU,COLAC ENG 34 ML,0.024
CYABY-F 5X25 NEGRU,E2200 MET PRYSMIAN 0-1036 1036 M,1.036
CYABY-F 5X25 NEGRU,E2200 MET PRYSMIAN 3-1004 1001 M,1.001
CYABY-F 5X35 NEGRU,##E1800 TM ELECTRO 0-1000 1000 M,0.273
CYABY-F 5X35 NEGRU,##E2000 TM ELECTRO 0-1000 1000 M,1
CYABY-F 5X4 NEGRU,##E1200 CABTEC 800-1425 625 M,0.625
CYABY-F 5X4 NEGRU,##E1200 EL GROUP 7981-5981 2000 M,2
