order_number,customer,address,contact,delivery_type,agent,sku,description,qty,uom,requested_lengths,management_code,lot_label,line_weight
CMD_108818,R.C.T.I. COMPANY SRL,,ANDROSCA ANDREI,CURIER,SALAGEANU MIHNEA,N2XH 3X2.5 Eca,Cablu N2XH 3x2.5 Eca,2.169,Km,,VZCB_CMP,##E1000 EL GROUP 8473-6304 2169 M,412.11
CMD_108818,R.C.T.I. COMPANY SRL,,ANDROSCA ANDREI,CURIER,SALAGEANU MIHNEA,N2XH 3X2.5 Eca,Cablu N2XH 3x2.5 Eca,1.000,Km,,VZCB_CMP,##E900 EL GROUP 1000 M,190.00
CMD_108818,R.C.T.I. COMPANY SRL,,ANDROSCA ANDREI,CURIER,SALAGEANU MIHNEA,TAMBUR E1000,Tambur E1000,1,Buc,,,##EL. GROUP,44.00
CMD_108818,R.C.T.I. COMPANY SRL,,ANDROSCA ANDREI,CURIER,SALAGEANU MIHNEA,TAMBUR E900,Tambur E900,1,Buc,,AMB_CMP,##OREN,35.00
CMD_108818,R.C.T.I. COMPANY SRL,,ANDROSCA ANDREI,CURIER,SALAGEANU MIHNEA,PALETI LEMN,Paleti lemn,1,Buc,,AMB_CMP,,20.00
